,Country,Rank_b,date_of_info_b,broadband_users,Rank_e,date_of_info_e,percent_education_of_gdp,Rank_g,date_of_info_g,gini_index,Rank_i,date_of_info_i,infant_deaths_per_1K_births,Rank_n,date_of_info_n,internet_users,Rank_m,date_of_info_m,maternal_deaths_per100Kbirths,Rank_u,date_of_info_u,percent_labor_force_unemployed
0,China,1.0,2020.0,483549500.0,133.0,2020.0,3.6,70.0,2019.0,38.2,162.0,2022.0,6.49,1.0,2020.0,987000000.0,111.0,2017.0,29.0,73.0,2021.0,4.82
1,United States,2.0,2020.0,121176000.0,40.0,2020.0,6.1,50.0,2016.0,41.1,173.0,2022.0,5.12,3.0,2020.0,301665983.0,129.0,2017.0,19.0,95.0,2021.0,5.46
2,Japan,3.0,2020.0,44000791.0,143.0,2020.0,3.4,126.0,2013.0,32.9,223.0,2022.0,1.88,7.0,2020.0,113252419.0,166.0,2017.0,5.0,30.0,2021.0,2.8
3,Brazil,4.0,2020.0,36344670.0,41.0,2019.0,6.0,14.0,2020.0,48.9,109.0,2022.0,13.11,4.0,2020.0,172173121.0,88.0,2017.0,60.0,190.0,2021.0,14.4
4,Germany,5.0,2020.0,36215303.0,87.0,2020.0,4.7,137.0,2018.0,31.7,208.0,2022.0,3.14,10.0,2020.0,74844784.0,154.0,2017.0,7.0,42.0,2021.0,3.54
5,Russia,6.0,2020.0,33893305.0,131.0,2020.0,3.7,92.0,2020.0,36.0,168.0,2022.0,6.33,6.0,2020.0,122488468.0,130.0,2017.0,17.0,77.0,2021.0,5.01
6,France,7.0,2020.0,30627000.0,58.0,2020.0,5.5,135.0,2018.0,32.4,210.0,2022.0,3.1,16.0,2020.0,57272921.0,151.0,2017.0,8.0,135.0,2021.0,8.06
7,United Kingdom,8.0,2020.0,27330297.0,60.0,2020.0,5.5,108.0,2016.0,34.8,192.0,2022.0,3.79,15.0,2020.0,63854528.0,158.0,2017.0,7.0,66.0,2021.0,4.53
8,India,9.0,2020.0,22950000.0,100.0,2020.0,4.5,94.0,2019.0,35.7,49.0,2022.0,30.36,2.0,2020.0,593400000.0,57.0,2017.0,145.0,100.0,2021.0,5.98
9,"Korea, South",10.0,2020.0,22327182.0,89.0,2019.0,4.7,139.0,2016.0,31.4,214.0,2022.0,2.83,20.0,2020.0,50281152.0,142.0,2017.0,11.0,41.0,2021.0,3.53
10,Mexico,11.0,2020.0,21936131.0,108.0,2018.0,4.3,26.0,2020.0,45.4,114.0,2022.0,12.0,8.0,2020.0,92831582.0,108.0,2017.0,33.0,62.0,2021.0,4.38
11,Italy,12.0,2020.0,18128787.0,107.0,2020.0,4.3,100.0,2018.0,35.2,209.0,2022.0,3.11,22.0,2020.0,41614669.0,182.0,2017.0,2.0,156.0,2021.0,9.83
12,Turkey (Turkiye),13.0,2020.0,16734853.0,145.0,2020.0,3.4,45.0,2018.0,41.9,84.0,2022.0,18.85,14.0,2020.0,65784472.0,133.0,2017.0,17.0,183.0,2021.0,13.39
13,Vietnam,14.0,2020.0,16699249.0,113.0,2020.0,4.1,96.0,2018.0,35.7,102.0,2022.0,14.42,13.0,2020.0,68137008.0,100.0,2017.0,43.0,20.0,2021.0,2.17
14,Spain,15.0,2020.0,16188502.0,95.0,2020.0,4.6,109.0,2017.0,34.7,217.0,2022.0,2.43,21.0,2020.0,44047980.0,174.0,2017.0,4.0,192.0,2021.0,14.73
15,Canada,16.0,2020.0,15825813.0,67.0,2020.0,5.2,122.0,2017.0,33.3,184.0,2022.0,4.31,27.0,2020.0,36896088.0,145.0,2017.0,10.0,125.0,2021.0,7.51
16,Indonesia,17.0,2020.0,11722218.0,141.0,2020.0,3.5,74.0,2021.0,37.9,81.0,2022.0,19.31,5.0,2020.0,147702755.0,52.0,2017.0,177.0,63.0,2021.0,4.41
17,Thailand,18.0,2020.0,11478265.0,152.0,2020.0,3.2,87.0,2018.0,36.4,167.0,2022.0,6.36,19.0,2020.0,54443983.0,103.0,2017.0,37.0,10.0,2021.0,1.42
18,Bangladesh,19.0,2020.0,10052819.0,184.0,2021.0,2.1,134.0,2016.0,32.4,52.0,2022.0,29.58,24.0,2020.0,41172346.0,53.0,2017.0,173.0,85.0,2021.0,5.23
19,Argentina,20.0,2020.0,9571562.0,73.0,2020.0,5.0,41.0,2020.0,42.3,141.0,2022.0,9.14,26.0,2021.0,39853610.0,101.0,2017.0,39.0,164.0,2021.0,10.9
20,Iran,21.0,2020.0,9564195.0,137.0,2020.0,3.6,51.0,2019.0,40.9,100.0,2022.0,14.58,9.0,2020.0,75594081.0,135.0,2017.0,16.0,168.0,2021.0,11.46
21,Egypt,22.0,2020.0,9349469.0,175.0,2020.0,2.5,138.0,2017.0,31.5,92.0,2022.0,17.27,12.0,2020.0,73680770.0,102.0,2017.0,37.0,153.0,2021.0,9.33
22,Australia,23.0,2020.0,9099619.0,38.0,2020.0,6.1,112.0,2018.0,34.3,213.0,2022.0,2.96,36.0,2020.0,23123940.0,159.0,2017.0,6.0,82.0,2021.0,5.11
23,Poland,24.0,2020.0,8369218.0,68.0,2020.0,5.2,148.0,2018.0,30.2,186.0,2022.0,4.1,30.0,2020.0,31456228.0,184.0,2017.0,2.0,38.0,2021.0,3.37
24,Philippines,25.0,2020.0,7936574.0,129.0,2020.0,3.7,42.0,2018.0,42.3,73.0,2022.0,22.14,18.0,2020.0,54790543.0,64.0,2017.0,121.0,24.0,2021.0,2.41
25,Saudi Arabia,26.0,2020.0,7890261.0,12.0,2020.0,7.8,24.0,2013.0,45.9,115.0,2022.0,11.97,29.0,2020.0,34117590.0,131.0,2017.0,17.0,121.0,2021.0,7.36
26,Ukraine,27.0,2020.0,7769401.0,63.0,2020.0,5.4,169.0,2018.0,26.1,157.0,2022.0,7.21,25.0,2022.0,40912381.0,128.0,2017.0,19.0,147.0,2021.0,8.88
27,Colombia,28.0,2020.0,7764772.0,80.0,2020.0,4.9,6.0,2020.0,54.2,121.0,2022.0,11.65,28.0,2020.0,35618019.0,78.0,2017.0,83.0,188.0,2021.0,14.34
28,Netherlands,29.0,2020.0,7525016.0,65.0,2020.0,5.3,155.0,2019.0,29.2,201.0,2022.0,3.34,46.0,2020.0,15871765.0,169.0,2017.0,5.0,56.0,2021.0,4.01
29,Iraq,30.0,2020.0,6254099.0,88.0,2016.0,4.7,152.0,2012.0,29.5,83.0,2022.0,19.17,35.0,2020.0,24133502.0,80.0,2017.0,79.0,187.0,2021.0,14.19
30,Taiwan,31.0,2019.0,5831470.0,,,,121.0,2014.0,33.6,190.0,2022.0,3.9,38.0,2019.0,21158750.0,,,,49.0,2019.0,3.73
31,Romania,32.0,2020.0,5684782.0,130.0,2020.0,3.7,107.0,2019.0,34.8,172.0,2022.0,5.65,47.0,2020.0,15020866.0,127.0,2017.0,19.0,83.0,2021.0,5.17
32,Uzbekistan,33.0,2020.0,4820009.0,82.0,2020.0,4.9,85.0,2003.0,36.8,89.0,2022.0,18.55,42.0,2022.0,17161534.0,114.0,2017.0,29.0,119.0,2021.0,7.16
33,Belgium,34.0,2020.0,4734210.0,25.0,2020.0,6.7,167.0,2019.0,27.2,207.0,2022.0,3.15,54.0,2020.0,10620701.0,164.0,2017.0,5.0,107.0,2021.0,6.42
34,Greece,35.0,2020.0,4257026.0,104.0,2020.0,4.4,123.0,2019.0,33.1,195.0,2022.0,3.49,67.0,2020.0,8346434.0,178.0,2017.0,3.0,193.0,2021.0,14.8
35,Sweden,36.0,2020.0,4179574.0,18.0,2020.0,7.2,159.0,2017.0,28.8,220.0,2022.0,2.28,57.0,2020.0,9835769.0,175.0,2017.0,4.0,143.0,2021.0,8.66
36,Portugal,37.0,2020.0,4160795.0,77.0,2020.0,5.0,128.0,2019.0,32.8,216.0,2022.0,2.47,70.0,2020.0,8031723.0,152.0,2017.0,8.0,112.0,2021.0,6.65
37,Switzerland,38.0,2020.0,4028238.0,70.0,2020.0,5.2,131.0,2017.0,32.7,194.0,2022.0,3.51,69.0,2020.0,8118367.0,171.0,2017.0,5.0,89.0,2021.0,5.32
38,Czechia,39.0,2020.0,3845426.0,72.0,2020.0,5.1,171.0,2019.0,25.3,218.0,2022.0,2.37,59.0,2022.0,9323428.0,176.0,2017.0,3.0,31.0,2021.0,2.89
39,Algeria,40.0,2020.0,3790459.0,21.0,2020.0,7.0,166.0,2011.0,27.6,82.0,2022.0,19.22,33.0,2020.0,27626157.0,68.0,2017.0,112.0,176.0,2021.0,12.7
40,Chile,41.0,2020.0,3763826.0,53.0,2019.0,5.6,28.0,2020.0,44.9,165.0,2022.0,6.41,43.0,2020.0,16822264.0,138.0,2017.0,13.0,150.0,2021.0,9.13
41,Hungary,42.0,2021.0,3382136.0,83.0,2020.0,4.8,149.0,2019.0,30.0,179.0,2022.0,4.55,62.0,2022.0,8588776.0,139.0,2017.0,12.0,58.0,2021.0,4.12
42,Malaysia,43.0,2020.0,3358800.0,121.0,2020.0,3.9,48.0,2015.0,41.1,163.0,2022.0,6.49,32.0,2020.0,29129398.0,113.0,2017.0,29.0,67.0,2021.0,4.61
43,Belarus,44.0,2020.0,3255552.0,86.0,2021.0,4.7,174.0,2020.0,24.4,203.0,2022.0,3.23,71.0,2022.0,8027601.0,181.0,2017.0,2.0,69.0,2021.0,4.74
44,United Arab Emirates,45.0,2020.0,3245123.0,123.0,2020.0,3.9,133.0,2014.0,32.5,175.0,2022.0,5.06,56.0,2020.0,9890400.0,180.0,2017.0,3.0,37.0,2021.0,3.36
45,Peru,46.0,2020.0,3044000.0,118.0,2021.0,4.0,32.0,2020.0,43.8,131.0,2022.0,10.8,37.0,2020.0,21431700.0,76.0,2017.0,88.0,74.0,2021.0,4.83
46,Hong Kong,47.0,2020.0,2885586.0,116.0,2021.0,4.0,8.0,2016.0,53.9,215.0,2022.0,2.52,78.0,2020.0,6883256.0,,,,88.0,2021.0,5.32
47,Kazakhstan,48.0,2020.0,2620400.0,101.0,2020.0,4.5,161.0,2018.0,27.8,85.0,2022.0,18.77,44.0,2022.0,16465777.0,146.0,2017.0,10.0,75.0,2021.0,4.9
48,Austria,49.0,2020.0,2606000.0,71.0,2020.0,5.1,147.0,2019.0,30.2,205.0,2022.0,3.2,73.0,2020.0,7846840.0,163.0,2017.0,5.0,103.0,2021.0,6.3
49,Israel,50.0,2020.0,2602079.0,19.0,2020.0,7.1,68.0,2018.0,38.6,196.0,2022.0,3.49,68.0,2020.0,8293590.0,179.0,2017.0,3.0,78.0,2021.0,5.05
50,Denmark,51.0,2020.0,2590282.0,32.0,2020.0,6.4,163.0,2019.0,27.7,212.0,2022.0,3.0,82.0,2020.0,5656462.0,172.0,2017.0,4.0,71.0,2021.0,4.8
51,Venezuela,52.0,2020.0,2561556.0,194.0,2017.0,1.3,63.0,2011.0,39.0,104.0,2022.0,14.1,39.0,2019.0,20531397.0,63.0,2017.0,125.0,106.0,2021.0,6.41
52,Pakistan,53.0,2020.0,2523027.0,178.0,2021.0,2.4,151.0,2018.0,29.6,17.0,2022.0,52.73,17.0,2020.0,55223083.0,61.0,2017.0,140.0,61.0,2021.0,4.35
53,Norway,54.0,2020.0,2387661.0,47.0,2020.0,5.9,165.0,2019.0,27.7,219.0,2022.0,2.28,88.0,2020.0,5218091.0,183.0,2017.0,2.0,76.0,2021.0,4.99
54,Ecuador,55.0,2020.0,2371297.0,128.0,2021.0,3.7,19.0,2020.0,47.3,91.0,2022.0,17.72,52.0,2020.0,11467989.0,90.0,2017.0,59.0,108.0,2021.0,6.43
55,Bulgaria,56.0,2020.0,2115053.0,115.0,2020.0,4.0,56.0,2019.0,40.3,150.0,2022.0,7.82,92.0,2020.0,4853811.0,144.0,2017.0,10.0,93.0,2021.0,5.42
56,Morocco,57.0,2020.0,2102434.0,23.0,2020.0,6.8,61.0,2013.0,39.5,86.0,2022.0,18.73,31.0,2020.0,31004869.0,84.0,2017.0,70.0,170.0,2021.0,11.47
57,Azerbaijan,58.0,2020.0,1995474.0,106.0,2020.0,4.3,117.0,2008.0,33.7,70.0,2022.0,22.93,61.0,2022.0,8745304.0,120.0,2017.0,26.0,110.0,2021.0,6.58
58,Finland,59.0,2020.0,1846000.0,45.0,2020.0,5.9,164.0,2019.0,27.7,222.0,2022.0,2.11,89.0,2020.0,5087180.0,177.0,2017.0,3.0,126.0,2021.0,7.53
59,Sri Lanka,60.0,2020.0,1781530.0,189.0,2019.0,1.9,58.0,2016.0,39.8,148.0,2022.0,8.04,74.0,2020.0,7671650.0,106.0,2017.0,36.0,91.0,2021.0,5.39
60,New Zealand,61.0,2020.0,1764984.0,44.0,2020.0,6.0,88.0,1997.0,36.2,199.0,2022.0,3.39,94.0,2020.0,4677556.0,148.0,2017.0,9.0,59.0,2021.0,4.12
61,Serbia,62.0,2020.0,1730496.0,140.0,2019.0,3.6,89.0,2017.0,36.2,180.0,2022.0,4.55,85.0,2020.0,5381318.0,141.0,2017.0,12.0,171.0,2021.0,11.81
62,Slovakia,63.0,2020.0,1701561.0,94.0,2020.0,4.6,173.0,2016.0,25.2,178.0,2022.0,4.74,91.0,2022.0,4917528.0,170.0,2017.0,5.0,113.0,2021.0,6.74
63,Syria,64.0,2020.0,1549356.0,,,,,,,94.0,2022.0,15.48,81.0,2020.0,6300237.0,110.0,2017.0,31.0,162.0,2021.0,10.57
64,Ireland,65.0,2020.0,1516473.0,156.0,2020.0,3.1,146.0,2018.0,30.6,197.0,2022.0,3.41,96.0,2020.0,4586820.0,165.0,2017.0,5.0,111.0,2021.0,6.63
65,Singapore,66.0,2020.0,1509700.0,167.0,2021.0,2.8,25.0,2017.0,45.9,226.0,2022.0,1.54,87.0,2020.0,5230942.0,153.0,2017.0,8.0,44.0,2021.0,3.62
66,Tunisia,67.0,2020.0,1334059.0,17.0,2016.0,7.3,129.0,2015.0,32.8,122.0,2022.0,11.57,63.0,2020.0,8509405.0,99.0,2017.0,43.0,202.0,2021.0,16.82
67,South Africa,68.0,2020.0,1303057.0,29.0,2021.0,6.6,1.0,2014.0,63.0,65.0,2022.0,24.99,23.0,2020.0,41516083.0,66.0,2017.0,119.0,227.0,2021.0,33.56
68,Nepal,69.0,2020.0,1270000.0,109.0,2020.0,4.2,127.0,2010.0,32.8,67.0,2022.0,24.55,53.0,2020.0,11071987.0,49.0,2017.0,186.0,79.0,2021.0,5.05
69,Tanzania,70.0,2020.0,1135608.0,147.0,2021.0,3.3,55.0,2017.0,40.5,50.0,2022.0,30.25,48.0,2020.0,13141527.0,19.0,2017.0,524.0,27.0,2021.0,2.65
70,Uruguay,71.0,2020.0,1063701.0,96.0,2020.0,4.6,59.0,2018.0,39.7,147.0,2022.0,8.14,114.0,2020.0,2987405.0,134.0,2017.0,17.0,161.0,2021.0,10.45
71,Dominican Republic,72.0,2020.0,1031858.0,92.0,2020.0,4.6,60.0,2020.0,39.6,78.0,2022.0,20.68,66.0,2020.0,8352886.0,71.0,2017.0,95.0,139.0,2021.0,8.5
72,Croatia,73.0,2020.0,1030973.0,56.0,2020.0,5.5,158.0,2019.0,28.9,143.0,2022.0,8.58,110.0,2020.0,3157190.0,150.0,2017.0,8.0,144.0,2021.0,8.68
73,Costa Rica,74.0,2020.0,992725.0,26.0,2020.0,6.7,13.0,2020.0,49.3,144.0,2022.0,8.2,100.0,2020.0,4126232.0,116.0,2017.0,27.0,204.0,2021.0,17.95
74,Georgia,75.0,2021.0,986809.0,135.0,2021.0,3.6,110.0,2020.0,34.5,101.0,2022.0,14.45,104.0,2022.0,3628500.0,121.0,2017.0,25.0,163.0,2021.0,10.66
75,Bolivia,76.0,2020.0,931918.0,5.0,2020.0,9.8,34.0,2020.0,43.6,72.0,2022.0,22.28,77.0,2020.0,7003817.0,56.0,2017.0,155.0,140.0,2021.0,8.51
76,Lithuania,77.0,2020.0,796814.0,117.0,2019.0,4.0,99.0,2019.0,35.3,193.0,2022.0,3.61,120.0,2022.0,2603900.0,167.0,2017.0,5.0,132.0,2021.0,7.9
77,Bosnia and Herzegovina,78.0,2020.0,770424.0,,,,124.0,2011.0,33.0,174.0,2022.0,5.1,123.0,2020.0,2394995.0,143.0,2017.0,10.0,194.0,2021.0,15.22
78,Cameroon,79.0,2020.0,722579.0,148.0,2020.0,3.2,21.0,2014.0,46.6,22.0,2022.0,47.4,55.0,2020.0,10087428.0,18.0,2017.0,529.0,50.0,2021.0,3.87
79,Moldova,80.0,2020.0,719001.0,34.0,2020.0,6.4,170.0,2019.0,26.0,123.0,2022.0,11.38,112.0,2022.0,3067466.0,125.0,2017.0,19.0,51.0,2021.0,3.96
80,Burma,81.0,2020.0,688185.0,185.0,2019.0,2.1,144.0,2017.0,30.7,44.0,2022.0,32.2,40.0,2020.0,19043428.0,42.0,2017.0,250.0,19.0,2021.0,2.17
81,Kenya,82.0,2020.0,674191.0,84.0,2021.0,4.8,52.0,2015.0,40.8,59.0,2022.0,26.94,45.0,2020.0,16131390.0,32.0,2017.0,342.0,97.0,2021.0,5.74
82,Puerto Rico,83.0,2020.0,671284.0,138.0,2021.0,3.6,,,,170.0,2022.0,5.92,121.0,2020.0,2559600.0,123.0,2017.0,21.0,138.0,2021.0,8.27
83,Slovenia,84.0,2020.0,651604.0,50.0,2020.0,5.8,175.0,2017.0,24.2,227.0,2022.0,1.51,130.0,2020.0,1829105.0,156.0,2017.0,7.0,64.0,2021.0,4.42
84,Jordan,85.0,2020.0,630545.0,150.0,2021.0,3.2,119.0,2010.0,33.7,108.0,2022.0,13.56,80.0,2019.0,6768137.0,96.0,2017.0,46.0,206.0,2021.0,19.25
85,Guatemala,86.0,2020.0,612000.0,155.0,2021.0,3.1,16.0,2014.0,48.3,62.0,2022.0,25.57,64.0,2020.0,8429167.0,72.0,2017.0,95.0,43.0,2021.0,3.57
86,El Salvador,87.0,2020.0,586000.0,111.0,2020.0,4.1,64.0,2019.0,38.8,116.0,2022.0,11.9,107.0,2020.0,3567410.0,95.0,2017.0,46.0,98.0,2021.0,5.94
87,Panama,88.0,2020.0,562413.0,122.0,2020.0,3.9,12.0,2019.0,49.8,96.0,2022.0,15.28,117.0,2020.0,2761452.0,93.0,2017.0,52.0,175.0,2021.0,12.09
88,Paraguay,89.0,2020.0,562369.0,146.0,2020.0,3.3,36.0,2020.0,43.5,71.0,2022.0,22.6,90.0,2021.0,4920000.0,77.0,2017.0,84.0,120.0,2021.0,7.21
89,Oman,90.0,2020.0,508949.0,62.0,2019.0,5.4,,,,103.0,2022.0,14.16,93.0,2020.0,4851291.0,126.0,2017.0,19.0,36.0,2021.0,3.12
90,Albania,91.0,2020.0,508937.0,153.0,2020.0,3.1,142.0,2019.0,30.8,132.0,2022.0,10.54,127.0,2020.0,2043251.0,136.0,2017.0,15.0,172.0,2021.0,11.82
91,Latvia,92.0,2020.0,490569.0,43.0,2020.0,6.0,111.0,2019.0,34.5,177.0,2022.0,4.78,132.0,2022.0,1663739.0,124.0,2017.0,19.0,127.0,2021.0,7.6
92,North Macedonia,93.0,2020.0,475569.0,,,,125.0,2018.0,33.0,158.0,2022.0,7.16,131.0,2020.0,1678750.0,155.0,2017.0,7.0,199.0,2021.0,16.2
93,Lebanon,94.0,2020.0,432070.0,190.0,2020.0,1.7,136.0,2011.0,31.8,159.0,2022.0,6.88,79.0,2020.0,6825442.0,112.0,2017.0,29.0,191.0,2021.0,14.49
94,Armenia,95.0,2020.0,430407.0,164.0,2021.0,2.8,172.0,2020.0,25.2,117.0,2022.0,11.89,125.0,2022.0,2288566.0,119.0,2017.0,26.0,210.0,2021.0,20.9
95,Estonia,96.0,2020.0,415610.0,27.0,2020.0,6.6,143.0,2019.0,30.8,200.0,2022.0,3.38,141.0,2022.0,1276521.0,147.0,2017.0,9.0,104.0,2021.0,6.33
96,Honduras,97.0,2020.0,396916.0,33.0,2020.0,6.4,17.0,2019.0,48.2,99.0,2022.0,14.77,99.0,2020.0,4159935.0,86.0,2017.0,65.0,141.0,2021.0,8.51
97,Yemen,98.0,2020.0,391000.0,,,,86.0,2014.0,36.7,26.0,2022.0,45.54,72.0,2019.0,7873719.0,54.0,2017.0,164.0,184.0,2021.0,13.57
98,Jamaica,99.0,2020.0,385603.0,42.0,2021.0,6.0,103.0,2016.0,35.0,129.0,2022.0,10.92,134.0,2019.0,1621552.0,79.0,2017.0,80.0,151.0,2021.0,9.18
99,Gaza Strip,100.0,2020.0,376911.0,64.0,2018.0,5.3,118.0,2016.0,33.7,98.0,2022.0,14.87,105.0,2020.0,3602452.0,117.0,2017.0,27.0,220.0,2021.0,24.9
100,Trinidad and Tobago,101.0,2020.0,376771.0,112.0,2020.0,4.1,,,,95.0,2022.0,15.44,144.0,2019.0,1074126.0,85.0,2017.0,67.0,72.0,2021.0,4.8
101,West Bank,102.0,2020.0,373050.0,66.0,2018.0,5.3,120.0,2016.0,33.7,97.0,2022.0,14.91,106.0,2020.0,3602452.0,118.0,2017.0,27.0,221.0,2021.0,24.9
102,Cyprus,103.0,2020.0,332080.0,39.0,2020.0,6.1,140.0,2019.0,31.2,145.0,2022.0,8.2,143.0,2020.0,1098699.0,160.0,2017.0,6.0,102.0,2021.0,6.13
103,Libya,104.0,2020.0,332000.0,,,,,,,128.0,2022.0,10.95,137.0,2019.0,1491040.0,81.0,2017.0,72.0,207.0,2021.0,19.58
104,Mauritius,105.0,2020.0,323200.0,81.0,2021.0,4.9,83.0,2017.0,36.8,118.0,2022.0,11.84,150.0,2020.0,822731.0,87.0,2017.0,61.0,124.0,2021.0,7.41
105,Mongolia,106.0,2020.0,307166.0,90.0,2020.0,4.7,130.0,2018.0,32.7,79.0,2022.0,19.77,126.0,2020.0,2065324.0,97.0,2017.0,45.0,118.0,2021.0,7.08
106,Qatar,107.0,2020.0,296126.0,151.0,2020.0,3.2,49.0,2007.0,41.1,164.0,2022.0,6.46,116.0,2020.0,2881060.0,149.0,2017.0,9.0,2.0,2021.0,0.26
107,Nicaragua,108.0,2020.0,290351.0,93.0,2020.0,4.6,22.0,2014.0,46.2,87.0,2022.0,18.63,115.0,2020.0,2981049.0,47.0,2017.0,198.0,99.0,2021.0,5.96
